Movie Name,Link,Released,Alternate Versions,Alternate Link,Duration,Sin Count,Writer 1,Writer 2,Writer 3,Writer 4,Writer 5
The Amazing Spiderman,https://youtu.be/wy-v4c4is-w,2012-12-12,(RE-SIN),https://youtu.be/Nuf12iEyopk,2:15,53,Jeremy Scott,,,,
The Avengers (2012),https://youtu.be/gYVZjKgoKdg,2012-12-18,(RE-SIN),https://youtu.be/KaSVjCXh98o,3:25,64,Jeremy Scott,,,,
The Dark Knight Rises ,https://youtu.be/j2tE-BCwZtw,2012-12-24,(RE-SIN),https://youtu.be/GTB5qzPSy0o,3:25,73,Chris Atkinson,Jeremy Scott,,,
Prometheus ,https://youtu.be/-BWnTW4rL0U,2013-01-02,(RE-SIN),https://youtu.be/03dHXfXzM3s,4:31,82,Jeremy Scott,,,,
The Hunger Games ,https://youtu.be/YxRUMeenjvI,2013-01-08,(RE-SIN),https://youtu.be/_FVJYIYA6Yw,3:15,53,Chris Atkinson,Jeremy Scott,,,
Looper ,https://youtu.be/XwDbqhl_p3g,2013-01-15,,,3:31,43,Jeremy Scott,,,,
Avatar ,https://youtu.be/Fq00mCqBMY8,2013-01-23,(RE-SIN),https://youtu.be/5G8d5c6oQTI,4:22,64,Chris Atkinson,Jeremy Scott,,,
The Room ,https://youtu.be/mvuwldnG7c0,2013-01-29,,,8:29,1591985490,Chris Atkinson,,,,
Harry Potter & The Sorcerer's Stone ,https://youtu.be/9rleGD8gGd4,2013-02-05,,,3:39,48,Chris Atkinson,Jeremy Scott,,,
The Last Airbender ,https://youtu.be/KSOzeeoVQOY,2013-02-12,,,5:07,271098000,Jeremy Scott,,,,
Inception ,https://youtu.be/nKI432lCZaU,2013-02-19,,,4:37,37,Chris Atkinson,Jeremy Scott,,,
Skyfall ,https://youtu.be/xmoIDKqfY44,2013-02-26,,,4:25,62,Chris Atkinson,Jeremy Scott,,,
Twilight ,https://youtu.be/ghPsLcuLHHU,2013-03-05,,,7:16,113,Chris Atkinson,Jeremy Scott,,,
Battleship ,https://youtu.be/JgLpevGj5Z8,2013-03-12,,,6:39,81,Chris Atkinson,Jeremy Scott,,,
The Dark Knight ,https://youtu.be/XUohSqT-PZg,2013-03-19,(RE-SIN),https://youtu.be/Gwz_npwynz4,4:27,43,Chris Atkinson,Jeremy Scott,,,
The Hobbit An Unexpected Journey ,https://youtu.be/8LDhsH79jAY,2013-03-26,,,4:28,45,Chris Atkinson,Jeremy Scott,,,
Life of Pi ,https://youtu.be/E5KEHurAsCE,2013-04-02,,,4:29,55,Chris Atkinson,Jeremy Scott,,,
